date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:15	52386/52386	---MCZ	200	added ('OK')	text/html	etag:W/%22cca2-5651e9f2beaf5%22	http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/index-234a6.html	(from )
11:24:15	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Dec%202019%2010:24:14%20GMT	http://html.iwthemes.com/robots.txt		(from )
11:24:17	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-562a9b4fded97%22	http://html.iwthemes.com/sportscup/run/img/icons/favicon.ico	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/img/icons/favicon.ico	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:17	454807/454807	---MCZ	200	added ('OK')	text/css	etag:W/%226f097-56622045d3ee8%22	http://html.iwthemes.com/sportscup/run/assets/css/main.css	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/assets/css/main.css	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:17	3072/3072	---M--	200	added ('OK')	image/png	etag:%22c00-562a9b4fdddf7%22	http://html.iwthemes.com/sportscup/run/img/icons/apple-touch-icon.png	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/img/icons/apple-touch-icon.png	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:17	3645/3645	---M--	200	added ('OK')	image/png	etag:%22e3d-562a9b4f4f4b3%22	http://html.iwthemes.com/sportscup/run/img/icons/apple-touch-icon-72x72.png	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/img/icons/apple-touch-icon-72x72.png	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:18	5795/5795	---M--	200	added ('OK')	image/png	etag:%2216a3-562a9b4f4a693%22	http://html.iwthemes.com/sportscup/run/img/icons/apple-touch-icon-114x114.png	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/img/icons/apple-touch-icon-114x114.png	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:18	101824/101824	---MCZ	200	added ('OK')	text/html	etag:W/%2218dc0-5651e9f4fce77%22	http://html.iwthemes.com/sportscup/run/index.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/index.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:18	7855/7855	---M--	200	added ('OK')	image/png	etag:%221eaf-562a9b209930f%22	http://html.iwthemes.com/sportscup/run/img/logo.png	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/img/logo.png	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:20	52386/52386	---MCZ	200	added ('OK')	text/html	etag:W/%22cca2-5651e9f2beaf5%22	http://html.iwthemes.com/sportscup/run/index-2.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/index-2.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:20	75210/75210	---MCZ	200	added ('OK')	text/html	etag:W/%22125ca-5651e9f304ff5%22	http://html.iwthemes.com/sportscup/run/index-3.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/index-3.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:20	38269/38269	---M--	200	added ('OK')	image/jpeg	etag:%22957d-562a9b2304564%22	http://html.iwthemes.com/sportscup/run/img/adds/banner.jpg	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/img/adds/banner.jpg	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:21	70143/70143	---MCZ	200	added ('OK')	text/html	etag:W/%22111ff-5651e9f38db75%22	http://html.iwthemes.com/sportscup/run/index-4.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/index-4.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:21	115355/115355	---MCZ	200	added ('OK')	text/html	etag:W/%221c29b-5651e9f5859f7%22	http://html.iwthemes.com/sportscup/run/index-5.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/index-5.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:21	52100/52100	---MCZ	200	added ('OK')	text/html	etag:W/%22cb84-5651e9f43d7f6%22	http://html.iwthemes.com/sportscup/run/index-6.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/index-6.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:22	46819/46819	---MCZ	200	added ('OK')	text/html	etag:W/%22b6e3-5651e9fe0279f%22	http://html.iwthemes.com/sportscup/run/table-point.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/table-point.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:22	45971/45971	---MCZ	200	added ('OK')	text/html	etag:W/%22b393-5651e9f21c934%22	http://html.iwthemes.com/sportscup/run/fixtures.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/fixtures.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:22	46509/46509	---MCZ	200	added ('OK')	text/html	etag:W/%22b5ad-5651e9f2478b4%22	http://html.iwthemes.com/sportscup/run/groups.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/groups.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:23	40963/40963	---MCZ	200	added ('OK')	text/html	etag:W/%22a003-5651e9f582b17%22	http://html.iwthemes.com/sportscup/run/news-left-sidebar.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/news-left-sidebar.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:23	36645/36645	---MCZ	200	added ('OK')	text/html	etag:W/%228f25-5651e9f108353%22	http://html.iwthemes.com/sportscup/run/contact.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/contact.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:24	82936/82936	---MCZ	200	added ('OK')	text/html	etag:W/%22143f8-5651e9fe5c51f%22	http://html.iwthemes.com/sportscup/run/teams.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/teams.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:24	52605/52605	---MCZ	200	added ('OK')	text/html	etag:W/%22cd7d-5651e9f964d5b%22	http://html.iwthemes.com/sportscup/run/players.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/players.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:25	45571/45571	---MCZ	200	added ('OK')	text/html	etag:W/%22b203-5651e9f9f657b%22	http://html.iwthemes.com/sportscup/run/results.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/results.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:27	109428/109428	---MCZ	200	added ('OK')	text/html	etag:W/%221ab74-5651e9fd4023e%22	http://html.iwthemes.com/sportscup/run/single-team.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/single-team.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:28	64611/64611	---MCZ	200	added ('OK')	text/html	etag:W/%22fc63-5651e9fcb671e%22	http://html.iwthemes.com/sportscup/run/single-player.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/single-player.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:29	55773/55773	---MCZ	200	added ('OK')	text/html	etag:W/%22d9dd-5651e9fb4c23c%22	http://html.iwthemes.com/sportscup/run/single-result.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/single-result.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:30	37677/37677	---MCZ	200	added ('OK')	text/html	etag:W/%22932d-5651e9f78a399%22	http://html.iwthemes.com/sportscup/run/page-full-width.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/page-full-width.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:31	39832/39832	---MCZ	200	added ('OK')	text/html	etag:W/%229b98-5651e9f7b2439%22	http://html.iwthemes.com/sportscup/run/page-left-sidebar.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/page-left-sidebar.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:32	39834/39834	---MCZ	200	added ('OK')	text/html	etag:W/%229b9a-5651e9f8cb83a%22	http://html.iwthemes.com/sportscup/run/page-right-sidebar.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/page-right-sidebar.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:33	92836/92836	---M--	200	added ('OK')	image/jpeg	etag:%2216aa4-563879d479d55%22	http://html.iwthemes.com/sportscup/run/img/blog/1.jpg	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/img/blog/1.jpg	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:33	32508/32508	---MCZ	200	added ('OK')	text/html	etag:W/%227efc-5651e9f67dab8%22	http://html.iwthemes.com/sportscup/run/page-404.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/page-404.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:33	39944/39944	---MCZ	200	added ('OK')	text/html	etag:W/%229c08-5651e9f708579%22	http://html.iwthemes.com/sportscup/run/page-faq.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/page-faq.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:34	40501/40501	---MCZ	200	added ('OK')	text/html	etag:W/%229e35-5651e9fd74dfe%22	http://html.iwthemes.com/sportscup/run/sitemap.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/sitemap.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:34	37101/37101	---MCZ	200	added ('OK')	text/html	etag:W/%2290ed-5651e9f82773a%22	http://html.iwthemes.com/sportscup/run/page-pricing.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/page-pricing.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:34	37571/37571	---MCZ	200	added ('OK')	text/html	etag:W/%2292c3-5651e9f98127b%22	http://html.iwthemes.com/sportscup/run/page-register.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/page-register.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
11:24:34	37670/37670	---MCZ	200	added ('OK')	text/html	etag:W/%229326-5651e9f0f5a73%22	http://html.iwthemes.com/sportscup/run/feature-header-footer-1.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/feature-header-footer-1.html	(from http://html.iwthemes.com/sportscup/run/index-2.html?fbclid=IwAR2iTLOVzV8CFhDd5dosMjyPOxj64SVc-wbd453pozMTdUj9bB07HrrwMtc)
